,Time [h],0,0.08,0.17,0.25,0.33,0.42,0.5,0.58,0.67,0.75,0.83,0.92,1,1.08,1.17,1.25,1.33,1.42,1.5,1.58,1.67,1.75,1.83,1.92,2,2.08,2.17,2.25,2.33,2.42,2.5,2.58,2.67,2.75,2.83,2.92,3,3.08,3.17,3.25,3.33,3.42,3.5,3.58,3.67,3.75,3.83,3.92,4,4.08,4.17,4.25,4.33,4.42,4.5,4.58,4.67,4.75,4.83,4.92
A15,Sample X5,51970879,51021056,50471158,50132333,49724075,49574103,49385249,49351922,49265827,49021428,48951997,48871456,48768698,48604839,48524299,48360440,48124373,48032723,47904969,47807765,47680011,47530039,47452276,47224541,47163441,47049573,47002360,46880160,46755184,46791288,46644093,46477457,46594102,46433021,46385808,46288604,46327485,46305267,46233059,46196954,46155295,45938669,45960887,45919228,45908119,45902564,45774810,45841465,45652611,45744261,45622061,45505416,45416544,45569293,45497084,45308231,45358221,45294344,45188808,45163813
A16,Sample X6,44974959,42213249,44305640,42011123,41895847,44336189,42003085,42134634,44497271,44358408,44441725,42216778,42195997,44577811,44522266,42305588,42251478,44552816,42288923,42450271,42415178,42369891,44819433,44708342,44813878,44691679,44752779,42422040,44772219,42404788,44747224,42314998,42452231,44713897,44725006,42342445,44763888,44744447,44791660,44816656,44794437,44625025,44677793,42385771,42375577,44711120,44752779,44733338,42316762,44797215,44636134,44661129,44566702,42428118,44725006,42283434,44619470,42270691,42150318,44583366
A17,Sample X6,56347842,55342474,54642604,53701113,53012352,52501336,52118074,52054197,51820907,51312668,51182137,50996061,50862752,50757216,50723889,50673898,50479490,50393395,50312854,50301745,50099005,49662975,49476899,49163069,49035315,48688157,48571512,48452090,48107709,48035501,47877197,47655016,47643907,47393953,47407840,47243981,47224541,47135668,47057905,47094009,46971810,46852388,46760738,46710747,46732965,46630207,46513562,46563553,46369144,46483012,46333040,46227504,46121968,46166404,46163627,46046982,45983105,45938669,45785920,45699824
A18,Sample X6,49632426,49451904,49243609,49129741,48996433,49051978,48829797,48824243,48582621,48096600,47721670,47393953,47171773,47144000,47030132,46994028,46902378,46785733,46685752,46880160,46813506,46724634,46735743,46557998,46588548,46346926,46338594,46191400,46005323,45969219,45847019,45591511,45597066,45424876,45419321,45141595,45172145,45111045,44994400,44977737,44866646,44738892,44777774,44761110,42474777,44663906,44588920,44672238,44566702,44641688,44544484,42139927,44358408,42205407,42104442,41982108,41986421,41948192,41818408,44111231
A19,Sample X7,48221577,47632798,47082900,47069014,46905156,47060682,46944037,47094009,47019023,46910710,46785733,46705193,46644093,46624652,46544112,46485789,46427467,46352481,46205286,46385808,46346926,46230281,46308045,46105305,46174736,46130300,46174736,46141409,45977551,46005323,45913674,45819247,45955332,45880346,45880346,45674829,45694270,45752592,45777588,45769256,45694270,45597066,45588734,45530412,45547075,45508193,45510971,45547075,45422098,45502639,45410989,45374885,45291567,45385994,45324894,45119377,45216581,45169368,45074941,45141595
A20,Sample X7,49382472,48640944,47941074,47674457,47282863,47302304,47055128,47052350,47010692,46799620,46777402,46710747,46655202,46616320,46577439,46594102,46483012,46508007,46444130,46535780,46452462,46441353,46508007,46413580,46460794,46299713,46402471,46344149,46291381,46310822,46344149,46216395,46266386,46244168,46258054,46099750,46219172,46213618,46163627,46208063,46149741,45996991,46030318,46055314,46027541,45969219,45944223,46010878,45930337,45988660,45899787,45813692,45666497,45869237,45760924,45644279,45619284,45569293,45463757,45447094
A21,Sample X7,45591511,45116600,44761110,42392241,42173059,42282650,42200898,42311469,42304215,42214033,42223443,44669461,42315390,42375969,42411846,42473797,42432823,42515555,42525749,42593582,45030505,42655141,45099936,45072164,45111045,45130486,45247131,45241576,45166590,45249908,45236022,45230467,45358221,45291567,45349890,42902554,45449871,45405435,45491530,45555407,45452648,45388771,45488753,45505416,45538743,45535966,45566516,45560961,45466535,45594289,45566516,45522080,45447094,45674829,45638725,45472089,45599843,45538743,45410989,45516525
A22,Sample X8,47182882,47074568,46402471,46238613,45902564,45910896,45735929,45772033,45691493,45558184,45569293,45677606,45622061,45685938,45741483,45730374,45666497,45688715,45669275,45863683,45855351,45816469,45869237,45785920,45891455,45808138,45966441,45947001,45847019,45888678,45869237,45808138,45888678,45830356,45933114,45816469,45852574,45894233,45830356,45935892,45858128,45752592,45733152,45802583,45855351,45772033,45838687,45894233,45724820,45858128,45849797,45844242,45727597,45983105,45888678,45841465,45844242,45763701,45802583,45727597
A23,Sample X8,45116600,45622061,45255463,44666683,44444503,42266770,44547261,42414394,44858314,44741670,44877755,42673766,45097159,45261017,45297122,45369330,45388771,45488753,45455426,45797029,45799806,45741483,45885901,45883124,45983105,45952555,46091418,46149741,46124745,46213618,46288604,46327485,46505230,46346926,46416358,46402471,46610766,46696861,46663534,46752406,46785733,46627430,46769070,46844056,46835724,46902378,46982919,47030132,47013469,47160664,47144000,47063459,47032910,47277309,47288418,47163441,47324522,47393953,47293972,47355072
A24,Sample X8,42218150,46263608,54342660,54895335,53976061,53684449,53284523,53065120,52698521,52237496,51993097,51993097,51726480,51437645,51143255,50993283,50832202,50718335,50579472,50593358,50504485,50362845,50290636,50018465,49949033,49796284,49712966,49526890,49332481,49143628,49113078,48927001,48840906,48604839,48457644,48199359,48174364,47996619,47943851,47893860,47666125,47488380,47360626,47252313,47107896,46977364,46874606,46796842,46621875,46571884,46452462,46296935,46083086,46208063,46088641,45827578,45849797,45699824,45510971,45469312
